Sl. No.,Constituent,Spec,Rate,Inclusion,Specification
1,Substructure,1,200,"Basic earthwork up to 5 feet | Basic backfilling | Basic compaction
Anti-Termite Treatment
Simple footings at 5 feet depth
Basic plinth beam of 200mm
Basic grade slab of 75mm thickness
Underground Tank of 5,000 liters","Standard shuttering material
Basic reinforcement steel
Ready Mix Concrete M20 Grade
Basic PVC conduits
Simple waterproofing"
1,Substructure,2,225,"Earthwork up to 6 feet | Improved backfilling | Better compaction
Anti-Termite Treatment
Footings at 5.5 feet depth
Plinth beam of 225mm
Grade slab of 85mm thickness
Underground Tank of 7,500 liters","Better quality shuttering
Standard reinforcement steel JSW
Ready Mix Concrete M20-M25 Grade
Standard quality conduits
Better waterproofing"
1,Substructure,3,250,"Earthwork up to 7 feet | Quality backfilling | Good compaction
Anti-Termite Treatment
Footings at 6 feet depth
Plinth beam of 250mm
Grade slab of 100mm thickness
Underground Tank of 10,000 liters","Good quality used plywood shuttering
JSW reinforcement steel
Ready Mix Concrete M25 Grade
Finolex conduits
Quality waterproofing with food grade coating"
1,Substructure,4,275,"Earthwork up to 8 feet | Premium backfilling | High-grade compaction
Anti-Termite Treatment with 10-year warranty
Footings at 6.5 feet depth
Plinth beam of 275mm
Grade slab of 115mm thickness
Underground Tank of 12,500 liters","Premium shuttering materials
Premium grade steel TATA/JSW
Ready Mix Concrete M30 Grade
Premium conduits
Advanced waterproofing systems"
1,Substructure,5,300,"Earthwork up to 9 feet | Premium backfilling | Machine compaction
Anti-Termite Treatment with 15-year warranty
Footings at 7 feet depth
Plinth beam of 300mm
Grade slab of 125mm thickness
Underground Tank of 15,000 liters","New plywood shuttering
Ultra-premium steel TATA
Ready Mix Concrete M35 Grade
Supreme quality conduits
Advanced waterproofing with 10-year warranty"
2,Superstructure,1,200,"Basic RCC structure
Standard formwork
100mm RCC slabs
Basic columns at 10 feet height
Simple beams
Basic Overhead Tank 5,000 liters","Standard shuttering
Basic steel reinforcement
M20 concrete
Standard conduits
Basic waterproofing"
2,Superstructure,2,225,"Improved RCC structure
Better formwork
110mm RCC slabs
Enhanced columns
Better designed beams
Overhead Tank 7,500 liters","Better quality shuttering
Standard JSW steel
M20-M25 concrete
Better quality conduits
Improved waterproofing"
2,Superstructure,3,250,"Quality RCC structure
Good formwork
120mm RCC slabs
Quality columns
Well-designed beams
Overhead Tank 10,000 liters","Good used plywood shuttering
JSW steel
M25 concrete
Finolex conduits
Quality waterproofing"
2,Superstructure,4,275,"Premium RCC structure
Premium formwork
130mm RCC slabs
Premium columns
Advanced beam design
Overhead Tank 12,500 liters","Premium shuttering
Premium TATA/JSW steel
M30 concrete
Premium conduits
Advanced waterproofing"
2,Superstructure,5,300,"Ultra-premium RCC structure
High-end formwork
140mm RCC slabs
Superior columns
Complex beam design
Overhead Tank 15,000 liters","New plywood shuttering
Ultra-premium TATA steel
M35 concrete
Supreme conduits
Premium waterproofing"
